Log (ln) mass	psi(m)
0.	2.5657725197007944e-6
0.05298317366548037	2.972575592297617e-6
0.10596634733096073	3.443864266233475e-6
0.15894952099644108	3.9898727494020135e-6
0.21193269466192147	4.6224473842457835e-6
0.2649158683274018	5.3553112234201164e-6
0.31789904199288216	6.204361732260684e-6
0.3708822156583626	7.1880146713316905e-6
0.42386538932384293	8.327583299605818e-6
0.47684856298932327	9.647754873918561e-6
0.5298317366548037	0.000011177187260508782
0.582814910320284	0.000012949041486779953
0.6357980839857643	0.000015001728081605701
0.6887812576512448	0.00001737973678110161
0.7417644313167252	0.000020134595231486842
0.7947476049822054	0.00002332594166131342
0.8477307786476859	0.000027022789842724854
0.9007139523131662	0.00003130527965655555
0.9536971259786465	0.00003626609792507299
1.0066802996441269	0.00004201256441338734
1.0596634733096073	0.000048668928767428805
1.1126466469750875	0.000056379024168367445
1.165629820640568	0.00006530926947662002
1.2186129943060484	0.00007565198081530454
1.2715961679715286	0.00008763043426725121
1.324579341637009	0.00010150258441356193
1.3775625153024895	0.00011756679296712834
1.43054568896797	0.0001361680639610489
1.4835288626334504	0.00015770520879106835
1.5365120362989304	0.00018263901998015865
1.5894952099644108	0.00021150062176564162
1.6424783836298913	0.00024490560131355436
1.6954615572953717	0.00028356320392957453
1.748444730960852	0.0003282913037416925
1.8014279046263324	0.00038003231937431983
1.8544110782918126	0.0004398712147462766
1.907394251957293	0.0005090557667513107
1.9603774256227735	0.000589016262543323
2.0133605992882537	0.000681399288985818
2.066343772953734	0.0007880883186568752
2.1193269466192146	0.0009112360671676432
2.1723101202846946	0.0010532976592355478
2.225293293950175	0.0012170656685060442
2.2782764676156555	0.0014057065379503688
2.331259641281136	0.0016227918910571217
2.3842428149466164	0.001872349197413752
2.437225988612097	0.0021588815155137134
2.490209162277577	0.0024873935727650425
2.5431923359430573	0.0028634058881487974
2.5961755096085377	0.00329295018305983
2.649158683274018	0.0037825391065892697
2.7021418569394986	0.0043390985690918826
2.755125030604979	0.004969861424342233
2.8081082042704595	0.005682176762474759
2.86109137793594	0.006483246359276365
2.9140745516014204	0.007379755194955525
2.967057725266901	0.008377371657221177
3.0200408989323804	0.009480095121059887
3.073024072597861	0.010689470206729895
3.1260072462633413	0.01200350196304816
3.1789904199288217	0.013415464145545796
3.231973593594302	0.01491259403071385
3.2849567672597826	0.016474638443404133
3.337939940925263	0.01807244802793509
3.3909231145907435	0.01966678162024604
3.443906288256224	0.02120764249161632
3.496889461921704	0.022634128646884348
3.5498726355871844	0.023875697557548144
3.602855809252665	0.024855067966987342
3.655838982918145	0.025492743588161955
3.7088221565836252	0.02571355040123927
3.7618053302491057	0.025454900523409905
3.814788503914586	0.02467589813868928
3.8677716775800666	0.023366859147054032
3.920754851245547	0.021557265756495508
3.973738024911027	0.019318612238128745
4.0267211985765075	0.016762731744209527
4.079704372241988	0.01403323906218943
4.132687545907468	0.011290558490040323
4.185670719572949	0.00869257705290561
4.238653893238429	0.006374021092044304
4.29163706690391	0.004427939055734042
4.344620240569389	0.002896973497706378
4.39760341423487	0.001773232364267362
4.45058658790035	0.0010079595081631159
4.5035697615658306	0.0005276979610847632
4.556552935231311	0.00025209433775431737
4.609536108896791	0.00010859410586125295
4.662519282562272	0.00004163982293461206
4.715502456227752	0.000013998169772718658
4.768485629893233	4.055542359744307e-6
4.821468803558713	9.95201688737401e-7
4.874451977224194	2.0473966172279043e-7
4.927435150889674	3.551160447691992e-8
4.980418324555154	4.338953134416229e-9
5.033401498220634	3.460763762534939e-10
5.0863846718861145	9.652843458100622e-12
5.139367845551595	-1.3162968351955392e-12
5.192351019217075	-2.1938280586592321e-13
5.245334192882556	0.
5.298317366548036	0.
