7.086854848381406e-10	3.1605349020182297e-10	8.746359050222103e-11
7.096862267191775e-10	3.165027027602065e-10	8.759030591384259e-11
7.106837010810836e-10	3.169505724133629e-10	8.771672741398314e-11
7.116822114211956e-10	3.173991551939407e-10	8.784337085103602e-11
7.126734996367446e-10	3.178443955783721e-10	8.796921102286102e-11
7.136681749668682e-10	3.1829150438749026e-10	8.809558500387021e-11
7.14653590456564e-10	3.1873431883939814e-10	8.82208794135214e-11
7.156345253402489e-10	3.1917521275723404e-10	8.834570041717578e-11
7.166157588790433e-10	3.196166119266515e-10	8.847073937896229e-11
7.175864847390607e-10	3.2005316140936383e-10	8.859453392646702e-11
7.185571883495492e-10	3.2049000856775165e-10	8.871847227130791e-11
7.195283447998021e-10	3.2092707296587276e-10	8.884254143950806e-11
7.20489525756084e-10	3.2135977851681183e-10	8.896553916064691e-11
7.21447117411596e-10	3.217910313014493e-10	8.908818986388313e-11
7.224018810425374e-10	3.22221128733549e-10	8.921060794195598e-11
7.233501921388649e-10	3.226483933795124e-10	8.933234879288909e-11
7.242937415756251e-10	3.230735444747146e-10	8.945363259462552e-11
7.252296290258274e-10	3.234955605760596e-10	8.957410084289809e-11
7.261640712670611e-10	3.2391710654692833e-10	8.969455526510122e-11
7.270907559439611e-10	3.2433536211646805e-10	8.981417839754325e-11
7.280121276338676e-10	3.247511531247487e-10	8.993325232103144e-11
7.289264111074703e-10	3.251642656520767e-10	9.00516383759734e-11
7.2983667137638e-10	3.2557518080716254e-10	9.016964449722647e-11
7.307415683965565e-10	3.259843010169825e-10	9.02871457979696e-11
7.316368432121072e-10	3.263891074404781e-10	9.040360746162788e-11
7.325293872879498e-10	3.2679295504867115e-10	9.051993093299736e-11
7.33411945166928e-10	3.2719249435580465e-10	9.063517968164104e-11
7.342882713494975e-10	3.2758917614247767e-10	9.074976721640163e-11
7.351552658604001e-10	3.279821479172904e-10	9.08634202307892e-11
7.360170845475519e-10	3.2837294197910643e-10	9.097662774756911e-11
7.368680596896382e-10	3.2875881895644137e-10	9.108864785990014e-11
