1.0280717299737478e+137	4.5842357108837156e+136	1.2680818177914893e+136
1.0831024317849633e+137	4.829670051275669e+136	1.3360100357480182e+136
1.1410645085782155e+137	5.088177746618843e+136	1.4075607081732684e+136
1.2021289322965102e+137	5.360525533381487e+136	1.4829446918991762e+136
1.2664376250953912e+137	5.647354336641172e+136	1.5623395500345197e+136
1.3341912043816803e+137	5.949549709574059e+136	1.6459933414684553e+136
1.4055619079678601e+137	6.267882707604805e+136	1.734115884501665e+136
1.480730995815922e+137	6.603158936859714e+136	1.8269359480530295e+136
1.5599260318391744e+137	6.956397185278381e+136	1.9247316379644998e+136
1.6433319955557071e+137	7.328430093239325e+136	2.0277375855046792e+136
1.7311742771999201e+137	7.720251842996501e+136	2.1362265802055496e+136
1.8237121765101257e+137	8.133031165451903e+136	2.250523111241702e+136
1.9211794333125392e+137	8.567802879896529e+136	2.3709189062690635e+136
2.023832649629349e+137	9.025724924057577e+136	2.4977288925698545e+136
2.1319598576800266e+137	9.508066530524545e+136	2.63131065972626e+136
2.245844046752332e+137	1.0016096187619854e+137	2.7720147659262807e+136
2.365796838417176e+137	1.055122400720507e+137	2.9202327043849973e+136
2.492121207359952e+137	1.111477740041473e+137	3.076331555203943e+136
2.625175846064068e+137	1.1708367358000237e+137	3.2407630387563415e+136
2.765305764253337e+137	1.233354006992838e+137	3.413953835127455e+136
2.9128931532750504e+137	1.2991995977838222e+137	3.5963761426334296e+136
3.0683174934873375e+137	1.3685431423625177e+137	3.7885026951433054e+136
3.231998646122573e+137	1.4415717298961618e+137	3.9908503691620134e+136
3.4043888980550115e+137	1.518488867450139e+137	4.203993026058643e+136
3.5859138258308495e+137	1.599483470432936e+137	4.4284448415324153e+136
3.777096462590888e+137	1.6847884216064902e+137	4.664858778271656e+136
3.978419085048459e+137	1.7746215930746836e+137	4.913847297935307e+136
4.190436851762523e+137	1.8692290699068023e+137	5.176083268245912e+136
4.413684567255043e+137	1.9688498336880944e+137	5.452238678961876e+136
4.648790268359194e+137	2.0737662576867804e+137	5.74309648015369e+136
4.896345919825576e+137	2.1842409645270035e+137	6.049388215654686e+136
5.157017843974579e+137	2.3005717201771677e+137	6.371945455088827e+136
5.431508574264035e+137	2.423072190071825e+137	6.711638264093871e+136
5.720516303238049e+137	2.5520572759707254e+137	7.069348307541751e+136
6.024819374252566e+137	2.6878725900268325e+137	7.446030819114025e+136
6.345240548177109e+137	2.8308871974227127e+137	7.842715595862341e+136
6.682604188586451e+137	2.9814670826447108e+137	8.260427713929078e+136
7.037796779718532e+137	3.1400121734686675e+137	8.700270296613093e+136
7.4129269913089514e+137	3.3074571293439996e+137	9.16483751334506e+136
7.811436019769974e+137	3.4853041285091957e+137	9.657972202971107e+136
8.230596331047466e+137	3.672380323529878e+137	1.0176788103607884e+137
8.666504872179158e+137	3.866984922595486e+137	1.071693444758669e+137
9.130140392724931e+137	4.073933040368732e+137	1.129107489427175e+137
9.617765410957827e+137	4.291604241026796e+137	1.189505876423663e+137
1.0130618200315582e+138	4.520553138389138e+137	1.253046236835363e+137
1.0670007983194601e+138	4.761363272323306e+137	1.3198906079138467e+137
1.1232443382476435e+138	5.012510894615704e+137	1.3896478275804416e+137
1.1829053817387848e+138	5.27889983899902e+137	1.4636186836375227e+137
1.2456526701955425e+138	5.559087876270117e+137	1.5414348926272035e+137
1.3116474398532205e+138	5.853795382014797e+137	1.6232987870022395e+137
1.3810576044800191e+138	6.163778464051296e+137	1.709421156212669e+137
1.454056503304403e+138	6.489800844610568e+137	1.8000189333401354e+137
1.530342268413824e+138	6.830553579668678e+137	1.8947505382416133e+137
1.611078073182569e+138	7.191181936668642e+137	1.9949995357664814e+137
1.69598916238828e+138	7.570483445075817e+137	2.1004588531004948e+137
1.7852882418593037e+138	7.969416634340931e+137	2.2113969633229165e+137
1.879209919610078e+138	8.389014261854377e+137	2.32810610577732e+137
1.9775022745177034e+138	8.828195459463304e+137	2.4503001949751573e+137
2.081371106695895e+138	9.292298435695144e+137	2.5794350109165636e+137
2.1906136619657536e+138	9.780447909452503e+137	2.7152873075441012e+137
2.3055014252040056e+138	1.0293862582936914e+138	2.858195799843436e+137
2.4263282061852018e+138	1.0833851373388637e+138	3.0085317320487595e+137
2.5533969311718265e+138	1.1401768237670986e+138	3.1666748227845552e+137
2.686562648812147e+138	1.1996979121270371e+138	3.332457888136803e+137
2.8271073019820076e+138	1.2625199706815329e+138	3.5074622206293527e+137
2.9749094278314462e+138	1.3285929369746823e+138	3.6915541544747694e+137
3.1303600649471e+138	1.3980880982211118e+138	3.885222058910681e+137
3.2938349109112544e+138	1.4711763368840963e+138	4.088945383291002e+137
3.4653022965562225e+138	1.547841665653037e+138	4.3026823213202e+137
3.6461067611696986e+138	1.6286893703379804e+138	4.528123613267024e+137
3.8362510738715736e+138	1.713718763048402e+138	4.765277116969923e+137
4.036218669621865e+138	1.8031484107425288e+138	5.014755918289254e+137
4.246517805324063e+138	1.897204686572728e+138	5.277192226753237e+137
4.467669664406946e+138	1.996121944815684e+138	5.553259507346692e+137
4.6997892131446855e+138	2.0999477541620247e+138	5.8430771321772625e+137
4.9443637825013856e+138	2.2093585953263037e+138	6.148559713433613e+137
5.201572346649655e+138	2.324429788654112e+138	6.469920279205721e+137
5.472065124219292e+138	2.445453559624779e+138	6.807977771773715e+137
5.756517720354911e+138	2.5727318828584376e+138	7.1635907235118276e+137
6.055653227176769e+138	2.7065948880323463e+138	7.53768419601519e+137
6.369795894024024e+138	2.8471702172754673e+138	7.930611198080207e+137
