6.15623566739868e+135	3.9818451562514647e+135	2.8863452136094866e+135	2.0971074844721357e+135	1.2017709015860925e+135	5.8198854953976026e+134	2.406510477136645e+134	9.27475051423763e+133	3.317276254342642e+133	1.7095447706109737e+134
6.486256353281555e+135	4.195404270723805e+135	3.041220709378012e+135	2.209685578472587e+135	1.26632651435281e+135	6.132710454826002e+134	2.535898214889818e+134	9.773504053442285e+133	3.495679506972729e+133	1.8014850907484521e+134
6.833885184104401e+135	4.4203654713526976e+135	3.2043747814223276e+135	2.328287372152864e+135	1.3343390399075962e+135	6.462296642919152e+134	2.6722242301989277e+134	1.0299019579865535e+134	3.683654749750401e+133	1.8983544723603345e+134
7.200160014344316e+135	4.657403657025626e+135	3.3762942291831835e+135	2.4532636661668212e+135	1.4060111107229293e+135	6.809635132326334e+134	2.8158951848862345e+134	1.0852850803188783e+134	3.8817623882101533e+133	2.0004495762375226e+134
7.585938911460023e+135	4.9070814279717e+135	3.557385214365137e+135	2.5849133534014994e+135	1.4815134576129656e+135	7.1755575434329895e+134	2.9672565618679073e+134	1.143633078596693e+134	4.0904761426070916e+133	2.1080094517112234e+134
7.992442086088228e+135	5.170172491690681e+135	3.7482146103478695e+135	2.723647554313856e+135	1.5610837149512623e+135	7.561210503459988e+134	3.1267833710630316e+134	1.205130953127911e+134	4.3104561063297393e+133	2.221372199474064e+134
8.420690794573845e+135	5.4473562003587485e+135	3.9492705946836437e+135	2.8698235437888696e+135	1.6449261989119202e+135	7.967596202167538e+134	3.2948882214429045e+134	1.2699368232355034e+134	4.5422699801234317e+133	2.340835433905632e+134
8.871788158129976e+135	5.739336225039521e+135	4.161069449856338e+135	3.023813757846158e+135	1.733256783873912e+135	8.395752278119307e+134	3.472006984856722e+134	1.3382170332106417e+134	4.78651967909087e+133	2.4667063838661993e+134
9.347104925607876e+135	6.047005575294887e+135	4.3842596390238126e+135	3.1860939599097943e+135	1.8263459585984796e+135	8.8470078219635e+134	3.658683017039585e+134	1.4101845438054973e+134	5.043950692700899e+133	2.599372381555831e+134
9.847772186797263e+135	6.371095632923751e+135	4.61937318129742e+135	3.357050996529294e+135	1.9244192610651663e+135	9.322443385160344e+134	3.855369764973786e+134	1.4860112798859853e+134	5.315201145010235e+133	2.7391531645530464e+134
1.0375132277135666e+136	6.712483037451603e+135	4.867041916130254e+135	3.537145716267573e+135	2.0277407301784514e+135	9.823354123658972e+134	4.062599581307278e+134	1.565904330895899e+134	5.600996397222786e+133	2.886433066120428e+134
1.0930764320681431e+136	7.072189204447611e+135	5.128014150386582e+135	3.726922158837058e+135	2.1366228575466094e+135	1.0351251233581139e+135	4.280998607382369e+134	1.6501063995070178e+134	5.902204343575326e+133	3.0416556381095985e+134
1.1516067665101943e+136	7.451126786403205e+135	5.402952260306022e+135	3.9268624570361654e+135	2.2513448439041208e+135	1.090749865514898e+135	4.51113257193126e+134	1.7388326036091324e+134	6.219597506360084e+133	3.205220535013911e+134
1.213260898044314e+136	7.850306273455576e+135	5.692590171680757e+135	4.137504960541406e+135	2.3722140825567647e+135	1.1493593072103968e+135	4.7536218498211874e+134	1.832325212842095e+134	6.554041120043446e+133	3.3775667056954134e+134
1.278212359332658e+136	8.270852585194817e+135	5.997748351304634e+135	4.3594413751242185e+135	2.499573739988849e+135	1.2111181819801625e+135	5.009153030325885e+134	1.930848750154217e+134	6.906492106299674e+133	3.559196151506923e+134
1.3466321827122177e+136	8.713876752151341e+135	6.319230694950029e+135	4.5932669965974284e+135	2.6337623649087283e+135	1.2761951399661743e+135	5.2784156902979195e+134	2.034668399128299e+134	7.277890120300471e+133	3.75058507714934e+134
1.4187111508573022e+136	9.180622710546889e+135	6.65794586015645e+135	4.839634330234e+135	2.775160110498656e+135	1.3447714155964814e+135	5.562172274656596e+134	2.1440757718608738e+134	7.669276866412784e+133	3.952280207216577e+134
1.4946289634258972e+136	9.672249782145876e+135	7.014735234993398e+135	5.09916479723306e+135	2.924122643405838e+135	1.417021466359498e+135	5.8611379995603436e+134	2.259352510497523e+134	8.081680236217771e+133	4.16478963882256e+134
1.5746046037106195e+136	1.01901890530703e+136	7.390639260905732e+135	5.3726142593757784e+135	3.0810857509112165e+135	1.493157952836577e+135	6.1761961863036695e+134	2.3808362485240215e+134	8.516265060253676e+133	4.388746197420745e+134
1.6588487005270206e+136	1.0735795268291967e+136	7.786646301861139e+135	5.660699711512185e+135	3.2464639284345664e+135	1.5733820817228992e+135	6.508175112840124e+134	2.508848866847415e+134	8.974227242419526e+133	4.624737793305738e+134
1.747590190627675e+136	1.1310565531002346e+136	8.203844175018303e+135	5.964220136159239e+135	3.4207148422480514e+135	1.6579155608876065e+135	6.8580057666899474e+134	2.643746089992628e+134	9.456825343393337e+133	4.873422451056184e+134
1.841060673710553e+136	1.1916005195810936e+136	8.643328567029172e+135	6.283972772884185e+135	3.604297924467357e+135	1.7469847353151884e+135	7.226611601285675e+134	2.785887645307071e+134	9.965337189249256e+133	5.135467675302668e+134
1.9395133165464852e+136	1.2553748747013797e+136	9.106295751225438e+135	6.620829502752218e+135	3.79771640281801e+135	1.8408319400926346e+135	7.615016301185806e+134	2.935666866011499e+134	1.0501187470988455e+134	5.411583595330964e+134
2.043226283235307e+136	1.3225613025705668e+136	9.59404959215362e+135	6.975744599417119e+135	4.0015239959980825e+135	1.939728765710235e+135	8.024319938057219e+134	3.093510099528903e+134	1.106589428029269e+134	5.702578768557689e+134
