1.2721070401650753e-11	1.1643552051231203e-11	7.31407676948133e-12	5.136247006510468e-12	3.5182767097871387e-12	2.4725782630418875e-12	1.287428209615901e-12	9.026688387825534e-13	5.382299029790095e-13	3.3719215711797796e-13	2.2560098505391546e-13	1.3690893909152886e-13	9.254998591734665e-14	8.029403092806946e-14	3.2785432082977766e-13	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf
1.2740799174954196e-11	1.1661804103431537e-11	7.325654903550222e-12	5.144458302074862e-12	3.523955191895084e-12	2.476591459426363e-12	1.2895261370032195e-12	9.041447087681566e-13	5.391120227008108e-13	3.3774600784841826e-13	2.2597220610229685e-13	1.3713438350037323e-13	9.27024406335811e-14	8.042640944981962e-14	3.283941254274801e-13	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf
1.2760557818702615e-11	1.1680052143538066e-11	7.33723514238713e-12	5.1526734862355766e-12	3.5296371406945883e-12	2.480607895814841e-12	1.2916263140264303e-12	9.056219769694341e-13	5.399954504411775e-13	3.383005210333219e-13	2.263436540531062e-13	1.373601360218823e-13	9.285517626970555e-14	8.055889851041975e-14	3.2893443600169644e-13	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf
1.2780348240228534e-11	1.1698374236650737e-11	7.34885945894668e-12	5.160922546935614e-12	3.5353443959914822e-12	2.484642309086238e-12	1.2937363302170184e-12	9.071061567299139e-13	5.408827589719144e-13	3.388576726991931e-13	2.2671703205797673e-13	1.375869885732934e-13	9.300860750387183e-14	8.069206656201784e-14	3.294773090738227e-13	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf
1.2800056034199752e-11	1.1716633596406137e-11	7.360448769313536e-12	5.169149296525987e-12	3.541038173676378e-12	2.488668379104357e-12	1.2958415353987994e-12	9.08587551020573e-13	5.417688061462401e-13	3.394138647306417e-13	2.2708976757023573e-13	1.378134285896964e-13	9.31618737344038e-14	8.082495744192262e-14	3.3001934268576526e-13	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf
1.2819922749966914e-11	1.1734989513411091e-11	7.37211370989591e-12	5.177430371717044e-12	3.546770070810542e-12	2.4927226894256795e-12	1.2979620789484837e-12	9.100794163783875e-13	5.426609261190448e-13	3.3997411386261493e-13	2.27465265302207e-13	1.380415489143023e-13	9.331615624648197e-14	8.095891182064353e-14	3.3056523655833116e-13	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf
1.2839630977679356e-11	1.1753266292546085e-11	7.383718251508019e-12	5.185672098678889e-12	3.5524769369137415e-12	2.496759663621964e-12	1.3000740575351196e-12	9.115656881156739e-13	5.43549609700473e-13	3.405320633982788e-13	2.278392335811248e-13	1.3826881314382672e-13	9.346986668092276e-14	8.109242367959252e-14	3.3110921863970123e-13	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf
1.2859353525531768e-11	1.1771524846818372e-11	7.395316545571266e-12	5.1939135458025625e-12	3.5581856695799008e-12	2.500798391083754e-12	1.3021869248777727e-12	9.130523817943444e-13	5.444390299920562e-13	3.4109057062372553e-13	2.2821349515388104e-13	1.3849634200400876e-13	9.362384173599918e-14	8.122583716777231e-14	3.3165299282936087e-13	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf
1.2879118727758012e-11	1.1789844971122087e-11	7.406968775332217e-12	5.202190988998683e-12	3.5639202241896657e-12	2.5048558933281554e-12	1.3043098629050292e-12	9.145470823686233e-13	5.453329432536485e-13	3.4165202310040085e-13	2.2858972990257447e-13	1.3872489876976288e-13	9.377851648882433e-14	8.136017478465441e-14	3.322002327502477e-13	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf
1.2898753839576739e-11	1.1808053516989543e-11	7.418533731856836e-12	5.210421064503941e-12	3.569625225339406e-12	2.508893465687333e-12	1.3064229873419713e-12	9.16034602499174e-13	5.462228446893303e-13	3.422109479027086e-13	2.2896441118053337e-13	1.389525901593527e-13	9.393252227484496e-14	8.149378913790353e-14	3.327452142722646e-13	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf
1.2918458013949266e-11	1.1826322701841055e-11	7.430167193726675e-12	5.218688062128663e-12	3.575357246649214e-12	2.512950511538896e-12	1.3085465143398138e-12	9.175293969673665e-13	5.471170550190376e-13	3.427726865479681e-13	2.293409039008723e-13	1.3918147236455934e-13	9.408734899267441e-14	8.16281507536879e-14	3.3329226277688683e-13	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf
1.2938214934464126e-11	1.184465366091075e-11	7.441829724183558e-12	5.226988153115914e-12	3.5811142316394212e-12	2.5170260091304458e-12	1.310680157919012e-12	9.190317909437607e-13	5.480159195016488e-13	3.4333720027823104e-13	2.2971937901674725e-13	1.3941139045462518e-13	9.424292341448881e-14	8.176319529473904e-14	3.3384268207143e-13	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf
1.2957897789659851e-11	1.1862885578270145e-11	7.453447258795274e-12	5.2352574512225465e-12	3.5868495162158814e-12	2.5210875889454213e-12	1.312806363373047e-12	9.205285256122783e-13	5.489120471756087e-13	3.4390009792381406e-13	2.3009665363272793e-13	1.3964072101993596e-13	9.439804446651673e-14	8.1897805930527e-14	3.343910700533735e-13	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf
