7.141848405415905e+138	3.494297271660767e+138	2.0223156886989105e+138	4.845610089528202e+137	7.731347185836524e+137	4.125749679028858e+137	5.2063616973539e+137	4.0745795330518275e+137	4.648430665591232e+137	5.706319307462266e+137	8.172462292715871e+137	2.097107967717585e+137	1.4448689082130839e+137	2.6840133605421806e+137	1.0172120424380625e+137	2.3601596477335684e+137	1.4402281636684847e+137	1.3812936453762275e+137	8.700850635556479e+136
7.524131731684631e+138	3.681343270262294e+138	2.1305628230666877e+138	5.104976509568119e+137	8.145176459575172e+137	4.346583895527826e+137	5.485035467789664e+137	4.292681599277659e+137	4.897255000207885e+137	6.011759627510476e+137	8.609902259834116e+137	2.2093575257489843e+137	1.5222068867599854e+137	2.827679051431701e+137	1.071660856014148e+137	2.4864931109660753e+137	1.5173217912608203e+137	1.4552291701156168e+137	9.166605801521549e+136
7.926771232500523e+138	3.878339535869178e+138	2.244575569677003e+138	5.378159116476918e+137	8.581050074487894e+137	4.579184774976009e+137	5.778559744886191e+137	4.522395199025427e+137	5.159321732983592e+137	6.3334698421775145e+137	9.070643631550585e+137	2.3275861422754652e+137	1.6036645985493493e+137	2.978995819129067e+137	1.1290080189533086e+137	2.6195562682595807e+137	1.5985170807535104e+137	1.5331096261410642e+137	9.657134044397153e+136
8.350959315436596e+138	4.085876110079883e+138	2.3646889653063943e+138	5.665959467896119e+137	9.040244532022209e+137	4.8242261033327625e+137	6.087784685658816e+137	4.7643990720438095e+137	5.435400981266873e+137	6.672386414099572e+137	9.556032438049923e+137	2.4521407938437713e+137	1.6894789274553048e+137	3.1384091694772833e+137	1.1894253001840338e+137	2.7597394674032085e+137	1.684063660920747e+137	1.6151556241936227e+137	1.0173979928329377e+137
8.79768659852629e+138	4.304448269866482e+138	2.491187184458818e+138	5.969060208974828e+137	9.523851182512945e+137	5.08229756593236e+137	6.413449306597954e+137	5.019266824894151e+137	5.7261587181710396e+137	7.029319329904295e+137	1.0067227078562333e+138	2.5833155592643065e+137	1.7798566354606955e+137	3.3062973010655017e+137	1.2530523501468733e+137	2.9073713257870947e+137	1.7741535682556106e+137	1.7015586525674502e+137	1.0718235807990563e+137
9.268338741501308e+138	4.534728958362385e+138	2.6244599040406874e+138	6.288388941352904e+137	1.0033354604231975e+138	5.354189779907532e+137	6.756555668222751e+137	5.2877935209630835e+137	6.032502112101603e+137	7.405369411101325e+137	1.0605798688223219e+138	2.7215155985335006e+137	1.8750734425200588e+137	3.4831781858218343e+137	1.3200883186420569e+137	3.0629143493553407e+137	1.8690676152989082e+137	1.7925898559392482e+137	1.1291671383592253e+137
9.764115977887362e+138	4.777294070981419e+138	2.7648465117869987e+138	6.624767188898074e+137	1.0570053752363088e+138	5.640593936938575e+137	7.117964488278529e+137	5.570641329418775e+137	6.355190084372877e+137	7.801493918261472e+137	1.1173115917268156e+138	2.8670934357593394e+137	1.975374640195019e+137	3.6694963537250324e+137	1.3907030621453646e+137	3.2267568084682585e+137	1.9690504945125997e+137	1.888487577265215e+137	1.1895714268074145e+137
1.0286278911906889e+139	5.032773572026714e+138	2.9127025221380006e+138	6.979038810117034e+137	1.1135314767721618e+138	5.942234960671919e+137	7.498611566723495e+137	5.8685355362531985e+137	6.695043024859718e+137	8.21869492168598e+137	1.1770622365879412e+138	3.0204175330335546e+137	2.081011009460155e+137	3.8657307223847255e+137	1.4650755763852932e+137	3.399318187024788e+137	2.0743528766189107e+137	1.9894824021749886e+137	1.2531922156104183e+137
1.0836392365094066e+139	5.3019313517908435e+138	3.068475763137546e+138	7.352285204713813e+137	1.1730839867356585e+138	6.260035831643122e+137	7.899650565181282e+137	6.182391164697333e+137	7.05310629320659e+137	8.65823732484426e+137	1.2400122220476856e+138	3.181949273112671e+137	2.1923041126037935e+137	4.0724744711809236e+137	1.5434296196353575e+137	3.5811185509037237e+137	2.18529726718321e+137	2.0958900372321372e+137	1.3202197202151092e+137
1.141577866015983e+139	5.5854088144299944e+138	3.232536647297143e+138	7.745383524336736e+137	1.2358036601544252e+138	6.594727306749037e+137	8.322009824512676e+137	6.512941163196366e+137	7.430215948160945e+137	9.121156466332308e+137	1.3063099983503393e+138	3.352074693999085e+137	2.309515710271866e+137	4.290210782188656e+137	1.625949839954468e+137	3.77259586408207e+137	2.3021370323223507e+137	2.207952449571806e+137	1.3908113040238972e+137
