1.15687576192656e-21	1.3367900391220934e-21	9.634315616804336e-22	7.905139228555263e-22	6.040014000805352e-22	5.30982706534844e-22	3.2426210346945604e-22	2.3096723387593246e-22	1.3821151711131486e-22	5.771329786010619e-23	6.383005641995668e-23	3.6915496109235586e-23
1.726666878808982e-21	1.9997122481053806e-21	1.4448897830847795e-21	1.1890436541830766e-21	9.113355055503327e-22	8.039499240380702e-22	4.927033930891565e-22	3.523260272691529e-22	2.1170708134652363e-22	8.879013123221886e-23	9.865874109877425e-23	5.735367756138625e-23
2.5782526563760023e-21	2.992955227943269e-21	2.1683441481419734e-21	1.7897018244818927e-21	1.3761661443182602e-21	1.2184427051567084e-21	7.494592670811752e-22	5.381306937157254e-22	3.2476775843694417e-22	1.3683381649363824e-22	1.5279979156936033e-22	8.931449058972265e-23
3.851068342935457e-21	4.4813539022777106e-21	3.25578993883966e-21	2.6954523052664097e-21	2.079656983745909e-21	1.848269617837766e-21	1.1412187395963992e-21	8.229621657619908e-22	4.989621312544482e-22	2.1124297920080233e-22	2.371457946098536e-22	1.3942498559222756e-22
5.753956878060267e-21	6.71258173207115e-21	4.890941544509799e-21	4.0621330977571e-21	3.145148722691292e-21	2.8061162868542107e-21	1.7396742043233054e-21	1.2602216702578684e-21	7.677957695194621e-22	3.267181606078915e-22	3.6886240854446873e-22	2.182305874829788e-22
8.600106127039625e-21	1.0058927621209601e-20	7.350856117383368e-21	6.125873090342355e-21	4.760405239220774e-21	4.264372055680526e-21	2.6550743295640602e-21	1.9325264368494107e-21	1.1834537533232266e-21	5.063292062168135e-22	5.751219459087783e-22	3.4258526631111134e-22
1.2858820115162382e-20	1.5079744812484077e-20	1.1053901678462131e-20	9.244544070243802e-21	7.21143690035239e-21	6.4872903591346185e-21	4.057198872270251e-21	2.9679085178188716e-21	1.8274827942532577e-21	7.86445544647459e-22	8.991440715709217e-22	5.39572232628118e-22
1.9233854134470123e-20	2.261690468021377e-20	1.6632187653760894e-20	1.3960526064624167e-20	1.0934113693028255e-20	9.880525325896227e-21	6.207949358254296e-21	4.56533334062762e-21	2.8276539536949423e-21	1.2245798230283909e-21	1.4099702837724998e-21	8.529553656310354e-22
2.8784836511820374e-20	3.394229083793855e-20	2.5044877039869563e-20	2.1099734586484155e-20	1.6595376069805058e-20	1.5067867513058275e-20	9.513187311545886e-21	7.035793867749507e-21	4.385238946974808e-21	1.912138761397916e-21	2.2186319413566004e-21	1.3540991486464614e-21
4.3111475463251674e-20	5.0982759663734e-20	3.775059603496779e-20	3.19250964269388e-20	2.5219778268689798e-20	2.3012991633003027e-20	1.460502724547404e-20	1.0867124185182574e-20	6.818781478632456e-21	2.9953724944506876e-21	3.504973491639694e-21	2.1602227318148937e-21
6.463908160013112e-20	7.666787114701496e-20	5.697294119595604e-20	4.8374271100392e-20	3.838835185371245e-20	3.521273538919051e-20	2.2472432514587193e-20	1.6827928540016848e-20	1.0635844054364354e-20	4.7100760084618896e-21	5.562662629426748e-21	3.465188226823232e-21
9.707380215937895e-20	1.1548286434522133e-19	8.6129521275841e-20	7.344049833299085e-20	5.855755565814367e-20	5.400847811565466e-20	3.4672128391170847e-20	2.6140223859357412e-20	1.6652625674470606e-20	7.439456147628267e-21	8.875351845910556e-21	5.592055840535638e-21
1.4611967246460165e-19	1.7435779290676426e-19	1.3052652120331827e-19	1.1178698959674476e-19	8.957547864669337e-20	8.309185543724293e-20	5.3677665542699116e-20	4.0765300209319974e-20	2.6192728529402446e-20	1.1812318876135388e-20	1.424691607301666e-20	9.083142847377106e-21
2.2067959440931246e-19	2.641519967224942e-19	1.9851482789465782e-19	1.707868036809628e-19	1.3755927222838378e-19	1.2836874920827357e-19	8.347902082978328e-20	6.389462709935441e-20	4.1432084286709736e-20	1.887567486418616e-20	2.3028062194106022e-20	1.4861586254044203e-20
3.349324159398332e-19	4.022192499182721e-19	3.0348240931058505e-19	2.6231582671283117e-19	2.124168411529343e-19	1.9946747645013935e-19	1.3063123835285626e-19	1.0081864150101654e-19	6.601450652404657e-20	3.0398803659091234e-20	3.7519973934257225e-20	2.4530303800042198e-20
5.120288243227711e-19	6.169898423266034e-19	4.674482297552828e-19	4.0599284576060824e-19	3.306095597618045e-19	3.124832926185568e-19	2.061603976358898e-19	1.6051312775160953e-19	1.0617431743641415e-19	4.9424996228767673e-20	6.172660437281032e-20	4.093374151369806e-20
7.911109017727499e-19	9.567747684693804e-19	7.279920560204188e-19	6.354729206635339e-19	5.20505497239256e-19	4.953122993042176e-19	3.292941240498635e-19	2.5872813849048686e-19	1.7290051884207326e-19	8.134710128864263e-20	1.0284502798908193e-19	6.924724675562976e-20
1.2401225633938754e-18	1.5059251175170044e-18	1.1511114467916859e-18	1.0101807471497429e-18	8.324364735122897e-19	7.977653889437618e-19	5.346069834303502e-19	4.239088867676646e-19	2.8606229222571166e-19	1.3600737949121427e-19	1.7417896474006156e-19	1.191217955074046e-19
1.9716314408295557e-18	2.405183756297021e-18	1.8479406015935883e-18	1.6310376660595816e-18	1.3527443177341296e-18	1.30622993842033e-18	8.827741133958254e-19	7.063311509654699e-19	4.811324898244778e-19	2.3127404368884257e-19	3.0025230393268445e-19	2.086326061396832e-19
3.1384391112179253e-18	3.847418766564157e-18	2.9731717645354964e-18	2.6411449450218535e-18	2.2066798615018704e-18	2.1493998766597893e-18	1.4663287751548634e-18	1.1843354092118555e-18	8.153426959825797e-19	3.9697155906442597e-19	5.2340486156130215e-19	3.7014652797942286e-19
