5.8213952841525125e-22	7.020335866606631e-22	5.3463375656638215e-22	3.6953965290692067e-22	3.425222545261564e-22	3.3477311699213776e-22	1.882938421083129e-22	1.7204127895124437e-22	7.798433785707257e-23	1.65934632645153e-23	3.095424608432116e-23	1.2050774544955394e-23
8.6885824359064e-22	1.050176258605753e-21	8.018077082793677e-22	5.558393932782065e-22	5.168078947320541e-22	5.068730462658779e-22	2.8610501786033855e-22	2.624381793122921e-22	1.194534066590493e-22	2.552853216644455e-23	4.784434045065287e-23	1.872265878727871e-23
1.2973759455541036e-21	1.5717914047053205e-21	1.2032717460780057e-21	8.366276316006037e-22	7.804080094708525e-22	7.682017837145441e-22	4.351990670278478e-22	4.008390767649098e-22	1.8324665793685417e-22	3.934183267146322e-23	7.409992431703653e-23	2.9156015850617665e-23
1.9378564084685752e-21	2.3534443413251973e-21	1.8067242914035315e-21	1.2600366426403226e-21	1.1793495820021873e-21	1.1652940357386433e-21	6.626875569653279e-22	6.130023776542804e-22	2.8153392882803656e-22	6.073561458490589e-23	1.1500333378869154e-22	4.5514194427560133e-23
2.8953893354438972e-21	3.525204176576268e-21	2.7141133372535254e-21	1.898915644122332e-21	1.7835777055692944e-21	1.7691956525724285e-21	1.0102011195385122e-21	9.3870521924205e-22	4.332203708263537e-22	9.393651024826539e-23	1.7887901728018938e-22	7.123966587875822e-23
4.327570764192203e-21	5.2825835241227584e-21	4.0791852543846925e-21	2.8636472427705503e-21	2.699571118177236e-21	2.688594388338442e-21	1.541759401569605e-21	1.4394869532933722e-21	6.677508449823941e-22	1.4557745605657942e-22	2.7890412825309624e-22	1.1183427670922862e-22
6.47055433623336e-21	7.919334395690261e-21	6.1341035670075966e-21	4.321524907063494e-21	4.089523012947432e-21	4.090096320713272e-21	2.3559508054854764e-21	2.210715211189344e-21	1.0311371919914039e-21	2.2611522367481853e-22	4.360379485417927e-22	1.761391288601137e-22
9.678469498576075e-21	1.1877577066807152e-20	9.229642580670067e-21	6.5260937311310115e-21	6.2006102517013845e-21	6.229457607868399e-21	3.604857378560869e-21	3.400593987207016e-21	1.5954728366828762e-21	3.5208558618748227e-22	6.837620015298699e-22	2.7844059789184407e-22
1.4484520900149138e-20	1.7825258626318218e-20	1.389806731182215e-20	9.863442464557973e-21	9.411047102508592e-21	9.499964710131426e-21	5.524156447581165e-21	5.240773572649517e-21	2.4743231444992215e-21	5.497693853992098e-22	1.0759207015492406e-21	4.420350603867976e-22
2.1693681224394246e-20	2.677429407545189e-20	2.0948808170236526e-20	1.4923948473943647e-20	1.4301846502490876e-20	1.450919369968003e-20	8.480906848881703e-21	8.094628454290144e-21	3.847422918995577e-21	8.612157906949938e-22	1.6997292194984887e-21	7.051877897281217e-22
3.2526366026747135e-20	4.0263181941663627e-20	3.1615797930785364e-20	2.2613404818337633e-20	2.1769593286909147e-20	2.2200868387952092e-20	1.3049383860824727e-20	1.2534671258520552e-20	6.0011587562754855e-21	1.3542194973666926e-21	2.697601060892959e-21	1.1311835537497591e-21
4.884750745959843e-20	6.064740690869099e-20	4.7795558441795024e-20	3.433105411382445e-20	3.320731703750007e-20	3.405117782605767e-20	2.0133553070167e-20	1.9471149519205913e-20	9.396062021078572e-21	2.1389583834365034e-21	4.304082442223163e-21	1.825482826444708e-21
7.352737434750926e-20	9.156638150667218e-20	7.24326326207887e-20	5.2256796674586014e-20	5.0797224794899536e-20	5.2387618464859605e-20	3.116976597726864e-20	3.036497544327064e-20	1.4778960782192887e-20	3.396223861873288e-21	6.909010751382437e-21	2.9651208340656985e-21
1.1104590419144874e-19	1.3872303671895566e-19	1.1016114936730042e-19	7.98372986592923e-20	7.800828284232602e-20	8.093372113243333e-20	4.847493863543753e-20	4.759338881025247e-20	2.337760069976806e-20	5.427047648724185e-21	1.1167408333647442e-20	4.851448421496058e-21
1.685378889272405e-19	2.1123094456144154e-19	1.6841044760723005e-19	1.2262415215319055e-19	1.2045915012999356e-19	1.2575993155322657e-19	7.585548081520736e-20	7.509709379504021e-20	3.724796375755659e-20	8.740124901977236e-21	1.8195229197309583e-20	8.007725529106867e-21
2.5765274728367547e-19	3.2402066088568574e-19	2.593994353251918e-19	1.8978850462636012e-19	1.874848829198313e-19	1.9701396032380153e-19	1.197140613907594e-19	1.1956191068073806e-19	5.990769811199435e-20	1.42104487125102e-20	2.993418162024558e-20	1.3362499282236271e-20
3.980867630204429e-19	5.024633657325129e-19	4.039821230081102e-19	2.9706300641167486e-19	2.9517268732138085e-19	3.1228369640270827e-19	1.912158563631864e-19	1.9271962996486452e-19	9.755722792756708e-20	2.3388546261553267e-20	4.9874471110879527e-20	2.2605221288146676e-20
6.240292933694048e-19	7.908571881543506e-19	6.387823084717829e-19	4.722267778997665e-19	4.720651601456796e-19	5.029738305942787e-19	3.1043776577955186e-19	3.157583256051055e-19	1.6140752168382223e-19	3.910421928687725e-20	8.446770752955922e-20	3.888637705971055e-20
9.92124336032257e-19	1.2631151711154738e-18	1.0254713100931466e-18	7.624572769275904e-19	7.67125760711748e-19	8.235497363881214e-19	5.126128762706822e-19	5.261270723815275e-19	2.7147374853187917e-19	6.649485457041347e-20	1.4560669729270175e-19	6.810648005044134e-20
1.5792615977378945e-18	2.020524627674823e-18	1.6498919618308721e-18	1.2346497108294678e-18	1.2513827965933636e-18	1.3551501536984522e-18	8.514737797409406e-19	8.821795849081468e-19	4.600482043880011e-19	1.1413544584403685e-19	2.5382404145005756e-19	1.208314346928714e-19
