1.00000000e+14	6.68147724e-10
1.25892541e+14	1.23748781e-09
1.58489319e+14	2.14671347e-09
1.99526231e+14	4.04418714e-09
2.51188643e+14	8.33285054e-09
3.16227766e+14	1.81566352e-08
3.98107171e+14	3.42408583e-08
5.01187234e+14	5.14150894e-08
6.30957344e+14	1.05812819e-07
7.94328235e+14	1.65868296e-07
1.00000000e+15	2.95546924e-07
1.25892541e+15	5.73752452e-07
1.58489319e+15	1.09066812e-06
1.99526231e+15	2.36033680e-06
2.51188643e+15	9.85985162e-06
3.16227766e+15	7.32420237e-05
3.98107171e+15	6.99722180e-04
5.01187234e+15	1.46911435e-02
6.30957344e+15	5.83600777e-01
7.94328235e+15	6.23900017e+01
1.00000000e+16	2.26771065e+04
1.25892541e+16	3.61275895e+07
1.58489319e+16	3.88321420e+11
1.99526231e+16	4.18131799e+16
2.51188643e+16	7.66980404e+22
3.16227766e+16	4.58130702e+30
3.98107171e+16	2.13092237e+40
5.01187234e+16	3.01269694e+52
6.30957344e+16	5.28903275e+67
7.94328235e+16	6.29066292e+86
1.00000000e+17	6.07510548e+110
1.25892541e+17	8.57937536e+140
1.58489319e+17	8.23088558e+178
1.99526231e+17	4.26858756e+226
2.51188643e+17	4.61893141e+286
3.16227766e+17	inf
3.98107171e+17	inf
5.01187234e+17	inf
6.30957344e+17	inf
7.94328235e+17	inf
