3478.072116392043, 1000000000000000
5215.9209386012635, 3294708500494351.5
8927.721729805251, 16701790799459360
10603.343895648313, 23588243022081160
14858.803775397162, 70172478567227976
18966.36627686524, 115657675732242060
26374.88275491491, 365552400604614000
39474.8295051971, 1199954539867685600
47732.95173584306, 2023188840503656200
74496.01522799, 7485173794966991000
127790.08414733052, 33210791540062745000
220226.3474753668, 144698949334128700000
392512.79053472186, 633321636832646800000
601482.613667282, 1.250611166652052e+21
738855.1250091399, 870402438210099200000
905824.128992076, 234907580839451160000
1020390.4146295394, 100610112979974700000
1311564.1583648338, 13267047393995393000
1634863.7884085989, 978112792214743200
1941241.5136619413, 85115896726894460
2225799.931230313, 6106446502222081
2475715.7946593324, 1000000000000000
