1.00000000e+11	8.18160650e-16
1.29154967e+11	1.42617309e-15
1.66810054e+11	2.51585716e-15
2.15443469e+11	4.52605705e-15
2.78255940e+11	8.35453110e-15
3.59381366e+11	1.55062533e-14
4.64158883e+11	2.81002301e-14
5.99484250e+11	5.05363233e-14
7.74263683e+11	9.26290543e-14
1.00000000e+12	1.74848613e-13
1.29154967e+12	3.32533935e-13
1.66810054e+12	6.14344193e-13
2.15443469e+12	1.12669518e-12
2.78255940e+12	2.08430721e-12
3.59381366e+12	3.91025957e-12
4.64158883e+12	7.46878849e-12
5.99484250e+12	1.46333283e-11
7.74263683e+12	2.98978446e-11
1.00000000e+13	6.51734810e-11
1.29154967e+13	1.50301413e-10
1.66810054e+13	3.53683069e-10
2.15443469e+13	8.18650642e-10
2.78255940e+13	1.77803290e-09
3.59381366e+13	3.54878524e-09
4.64158883e+13	6.49131540e-09
5.99484250e+13	1.08420390e-08
7.74263683e+13	1.73027285e-08
1.00000000e+14	2.76240500e-08
1.29154967e+14	4.49844940e-08
1.66810054e+14	7.53716263e-08
2.15443469e+14	1.30560719e-07
2.78255940e+14	2.35353091e-07
3.59381366e+14	4.47409619e-07
4.64158883e+14	9.16782553e-07
5.99484250e+14	2.01927883e-06
7.74263683e+14	4.44936510e-06
1.00000000e+15	9.57246523e-06
1.29154967e+15	2.07618885e-05
1.66810054e+15	4.65156952e-05
2.15443469e+15	1.03838082e-04
2.78255940e+15	2.22574372e-04
3.59381366e+15	4.09124530e-04
4.64158883e+15	5.66745467e-04
5.99484250e+15	5.97215266e-04
7.74263683e+15	5.45398206e-04
1.00000000e+16	4.77957907e-04
1.29154967e+16	4.25213981e-04
1.66810054e+16	4.14492364e-04
2.15443469e+16	4.99285092e-04
2.78255940e+16	7.47564124e-04
3.59381366e+16	1.24399736e-03
4.64158883e+16	2.19202751e-03
5.99484250e+16	4.16090568e-03
7.74263683e+16	9.20621832e-03
1.00000000e+17	2.81809504e-02
1.29154967e+17	1.38325772e-01
1.66810054e+17	9.34932005e-01
2.15443469e+17	9.58226839e+00
2.78255940e+17	2.15287213e+02
3.59381366e+17	1.12296468e+04
4.64158883e+17	1.77322839e+06
5.99484250e+17	1.15396551e+09
7.74263683e+17	4.95666277e+12
1.00000000e+18	2.19838113e+17
1.29154967e+18	2.24399288e+23
1.66810054e+18	8.68446036e+30
2.15443469e+18	5.45676161e+40
2.78255940e+18	1.84627522e+53
3.59381366e+18	2.50591988e+69
4.64158883e+18	1.56617036e+90
5.99484250e+18	1.20046478e+117
7.74263683e+18	5.01069040e+151
1.00000000e+19	2.78562314e+196
1.29154967e+19	1.58868505e+254
