5.00000000e+14	1.83261532e-05	6.24335304e+00
6.23514064e+14	3.48530475e-05	5.95434572e+00
7.77539577e+14	6.64245661e-05	5.76773218e+00
9.69613724e+14	1.26806086e-04	5.61581175e+00
1.20913559e+15	2.42421440e-04	5.49992334e+00
1.50782609e+15	4.64080003e-04	5.39699924e+00
1.88030155e+15	8.89694593e-04	5.31448620e+00
2.34478892e+15	1.70847711e-03	5.25736873e+00
2.92401774e+15	3.28738054e-03	5.20706327e+00
3.64633237e+15	6.34133246e-03	5.15376023e+00
4.54707903e+15	1.22714249e-02	5.08806098e+00
5.67033545e+15	2.38443230e-02	5.04188040e+00
7.07106781e+15	4.65768718e-02	5.01211784e+00
8.81782046e+15	9.16102970e-02	4.97382432e+00
1.09960702e+16	1.81819294e-01	4.92781529e+00
1.37124088e+16	3.65195865e-01	4.87946028e+00
1.70997595e+16	7.45319693e-01	4.84495884e+00
2.13238811e+16	1.55415180e+00	4.81024179e+00
2.65914795e+16	3.33656101e+00	4.78206643e+00
3.31603229e+16	7.45279100e+00	7.68820568e+00
4.13518554e+16	1.75681060e+01	1.81230377e+01
5.15669269e+16	4.45347114e+01	4.59414495e+01
6.43054083e+16	1.24402720e+02	1.28332285e+02
8.01906530e+16	3.94948357e+02	4.07423769e+02
1.00000000e+17	1.48121590e+03	1.52800373e+03
