5.00000000e+14	3.50130722e-05	2.41970586e+01
6.23514064e+14	6.77166205e-05	2.37975148e+01
7.77539577e+14	1.31047476e-04	2.28110287e+01
9.69613724e+14	2.53782928e-04	2.28945442e+01
1.20913559e+15	4.91869955e-04	2.35890645e+01
1.50782609e+15	9.54265001e-04	2.26280312e+01
1.88030155e+15	1.85362215e-03	2.39673317e+01
2.34478892e+15	3.60612759e-03	2.26771546e+01
2.92401774e+15	7.02914072e-03	2.27021555e+01
3.64633237e+15	1.37350143e-02	2.27916606e+01
4.54707903e+15	2.69223545e-02	2.28859990e+01
5.67033545e+15	5.29827825e-02	2.31897707e+01
7.07106781e+15	1.04808510e-01	2.34571801e+01
8.81782046e+15	2.08721965e-01	2.34662122e+01
1.09960702e+16	4.19327318e-01	2.38351714e+01
1.37124088e+16	8.52284483e-01	2.40098871e+01
1.70997595e+16	1.75938768e+00	2.41377724e+01
2.13238811e+16	3.70885763e+00	2.39026474e+01
2.65914795e+16	8.04433338e+00	2.42759836e+01
3.31603229e+16	1.81392455e+01	2.46783163e+01
4.13518554e+16	4.31274133e+01	5.42567472e+01
5.15669269e+16	1.10164242e+02	1.38592904e+02
6.43054083e+16	3.09782025e+02	3.89723467e+02
8.01906530e+16	9.89074449e+02	1.24431210e+03
1.00000000e+17	3.72712493e+03	4.68893587e+03
