Log (ln) mass	psi(m)
0.	0.00012514080645104202
0.05298317366548037	0.0001343747108766938
0.10596634733096073	0.0001441085568368205
0.15894952099644108	0.00015435375311757718
0.21193269466192147	0.00016512078113475932
0.2649158683274018	0.00017641868032301626
0.31789904199288216	0.00018825536785718516
0.3708822156583626	0.0002006375278765463
0.42386538932384293	0.0002135703185370829
0.47684856298932327	0.00022705710483332477
0.5298317366548037	0.00024109972867697747
0.582814910320284	0.0002556985008648438
0.6357980839857643	0.00027085155260006777
0.6887812576512448	0.0002865550504617823
0.7417644313167252	0.0003028032739369752
0.7947476049822054	0.0003195887624521423
0.8477307786476859	0.00033690126595996235
0.9007139523131662	0.0003547286039254353
0.9536971259786465	0.00037305649620601413
1.0066802996441269	0.00039186857219924943
1.0596634733096073	0.00041114561560432725
1.1126466469750875	0.00043086644627731937
1.165629820640568	0.00045100779975001026
1.2186129943060484	0.000471544024353616
1.2715961679715286	0.000492446972116389
1.324579341637009	0.0005136865579970612
1.3775625153024895	0.0005352308115355687
1.43054568896797	0.0005570453327913123
1.4835288626334504	0.0005790937815190299
1.5365120362989304	0.0006013380903535371
1.5894952099644108	0.0006237386527826695
1.6424783836298913	0.0006462537248690138
1.6954615572953717	0.0006688402934952483
1.748444730960852	0.0006914540519332376
1.8014279046263324	0.0007140495074961926
1.8544110782918126	0.0007365798621730632
1.907394251957293	0.0007589976150344024
1.9603774256227735	0.0007812545848783641
2.0133605992882537	0.0008033019812922835
2.066343772953734	0.00082509067428508
2.1193269466192146	0.0008465714495288518
2.1723101202846946	0.0008676950825440427
2.225293293950175	0.0008884126009691063
2.2782764676156555	0.0009086755462723857
2.331259641281136	0.0009284360836354065
2.3842428149466164	0.0009476470163436824
2.437225988612097	0.0009662624760992127
2.490209162277577	0.0009842377474303284
2.5431923359430573	0.0010015294355844374
2.5961755096085377	0.0010180955427212107
2.649158683274018	0.0010338962941010687
2.7021418569394986	0.001048893623362837
2.755125030604979	0.001063051344655645
2.8081082042704595	0.0010763355564739668
2.86109137793594	0.0010887150553096484
2.9140745516014204	0.0011001608770425538
2.967057725266901	0.001110646312446939
3.0200408989323804	0.0011201477798990572
3.073024072597861	0.0011286445160305922
3.1260072462633413	0.001136118403819874
3.1789904199288217	0.0011425537702281316
3.231973593594302	0.0011479387411664588
3.2849567672597826	0.0011522640688124003
3.337939940925263	0.0011555233175748727
3.3909231145907435	0.0011577128106585336
3.443906288256224	0.001158832600271891
3.496889461921704	0.0011588852621462373
3.5498726355871844	0.0011578760532767397
3.602855809252665	0.0011558132314206618
3.655838982918145	0.0011527082147349166
3.7088221565836252	0.0011485748279878407
3.7618053302491057	0.0011434292457768648
3.814788503914586	0.0011372906242737733
3.8677716775800666	0.001130180540652581
3.920754851245547	0.0011221227042693893
3.973738024911027	0.0011131427364495753
4.0267211985765075	0.0011032689190328562
4.079704372241988	0.0010925311834470053
4.132687545907468	0.0010809611426130508
4.185670719572949	0.0010685919619857983
4.238653893238429	0.00105545866254167
4.29163706690391	0.0010415973512609906
4.344620240569389	0.0010270452404272886
4.39760341423487	0.0010118406487428606
4.45058658790035	0.0009960228394600857
4.5035697615658306	0.000979631666635316
4.556552935231311	0.0009627075124340439
4.609536108896791	0.0009452912493131998
4.662519282562272	0.0009274239514241222
4.715502456227752	0.0009091467674379862
4.768485629893233	0.0008905008627594627
4.821468803558713	0.0008715271785643738
4.874451977224194	0.0008522663252630996
4.927435150889674	0.0008327585029606938
4.980418324555154	0.0008130434453438919
5.033401498220634	0.0007931600227625826
5.0863846718861145	0.0007731463982975481
5.139367845551595	0.0007530399367302449
5.192351019217075	0.0007328770075337754
5.245334192882556	0.0007126927836247069
5.298317366548036	0.0006925213821475528
