4.2485952530311536e-11	2.748633071493473e-11	1.9933152615433552e-11	1.4489637656267186e-11	8.307734081836825e-12	4.025018635268834e-12	1.664837297925043e-12	6.417896609989505e-13	2.2960111453711405e-13	1.184675614957458e-12
4.254904345638714e-11	2.7527791891416046e-11	1.9963735715666325e-11	1.451218139069075e-11	8.320930217251238e-12	4.0315378959170636e-12	1.667557674684184e-12	6.428446130170731e-13	2.2997937106797064e-13	1.186627085743775e-12
4.2612034699561094e-11	2.7569265274070318e-11	1.9994251609663216e-11	1.4534739371115179e-11	8.334130259733612e-12	4.038062141838166e-12	1.6702808987401883e-12	6.439006883125875e-13	2.3035817005765486e-13	1.1885803845229212e-12
4.267513978619974e-11	2.761081713298079e-11	2.002491662739488e-11	1.455736062275849e-11	8.347382508661307e-12	4.04461552805233e-12	1.6730170412906284e-12	6.449618447153048e-13	2.3073881480242145e-13	1.190543207398814e-12
4.2737907815001205e-11	2.765212736304928e-11	2.005539933837073e-11	1.4579892471342934e-11	8.360596100032295e-12	4.051154526570883e-12	1.6757476048988465e-12	6.460213152723231e-13	2.311188411524719e-13	1.1925023114392141e-12
4.280100516928529e-11	2.7693709661095385e-11	2.0086067568629056e-11	1.460257577122152e-11	8.37389596296089e-12	4.057738443996392e-12	1.6784976327712253e-12	6.470884515502316e-13	2.3150161175612754e-13	1.1944764341315759e-12
4.286363705985649e-11	2.7734991524411596e-11	2.0116544768836626e-11	1.4625113959132123e-11	8.387129114155012e-12	4.06429408158283e-12	1.6812370680028995e-12	6.481512819272855e-13	2.318830336017462e-13	1.1964430356057492e-12
4.2926083068005234e-11	2.7776179385167916e-11	2.014697107233036e-11	1.4647654204686452e-11	8.400357567289404e-12	4.070852513183435e-12	1.6839778068476227e-12	6.492150147511014e-13	2.322647931442096e-13	1.1984100911282686e-12
4.2988677746488954e-11	2.781745833843476e-11	2.017752779548789e-11	1.4670243700411307e-11	8.41364591268638e-12	4.077440797159132e-12	1.6867322422581233e-12	6.502844760764347e-13	2.326485108558278e-13	1.2003869943472955e-12
4.305072290253373e-11	2.7858457086013496e-11	2.0207802650637285e-11	1.469269587214919e-11	8.426846948621585e-12	4.0839966390384825e-12	1.689474051449562e-12	6.513491196669208e-13	2.330305267336088e-13	1.2023573750279212e-12
4.3112846127689314e-11	2.789951757308162e-11	2.0238238470658314e-11	1.47152320109116e-11	8.44010988456035e-12	4.090583570360936e-12	1.6922291154197743e-12	6.524191861222286e-13	2.33414589527926e-13	1.2043361302268463e-12
4.317517238480606e-11	2.7940718447620795e-11	2.0268723692757476e-11	1.4737825875396005e-11	8.453419874660513e-12	4.097200063488771e-12	1.6949981123873545e-12	6.534946645954306e-13	2.33800425166305e-13	1.2063282877079955e-12
4.323693813124961e-11	2.7981618510403422e-11	2.029900410434129e-11	1.4760317239628276e-11	8.466676760145288e-12	4.1037929547690326e-12	1.6977574777317492e-12	6.545668821564345e-13	2.3418528885998044e-13	1.2083092494828902e-12
4.329866066016453e-11	2.8022448522386566e-11	2.0329296422339525e-11	1.4782796363097145e-11	8.479943460987182e-12	4.110395273680158e-12	1.700522026011416e-12	6.556410406045272e-13	2.345709736818575e-13	1.2102974853399836e-12
4.3360307760161976e-11	2.806327655660788e-11	2.0359599571831256e-11	1.480531283125921e-11	8.493233239103026e-12	4.117014037413784e-12	1.7032946638969612e-12	6.567187822344033e-13	2.349578452778257e-13	1.212291594709818e-12
4.3421678375921325e-11	2.810401881782349e-11	2.0389795750481038e-11	1.482777991999751e-11	8.506502219848829e-12	4.123629725541225e-12	1.7060665706245125e-12	6.577965566416824e-13	2.3534473526298767e-13	1.214284967680895e-12
4.348288034748121e-11	2.8144610620667135e-11	2.0419991737870727e-11	1.4850232483347844e-11	8.519781728304637e-12	4.130253646260988e-12	1.7088421247267913e-12	6.588758810529618e-13	2.3573237067836213e-13	1.2162805969026342e-12
4.354378586917143e-11	2.8185035857340375e-11	2.0450030914933385e-11	1.487259680726406e-11	8.533030834367322e-12	4.136865061594934e-12	1.7116154248604847e-12	6.599545791196983e-13	2.361196032876626e-13	1.2182757363928602e-12
4.3604739794928736e-11	2.8225546283603707e-11	2.04801409877669e-11	1.48950459125807e-11	8.546324681970526e-12	4.143508608546046e-12	1.7144014570837206e-12	6.610385150024198e-13	2.3650892013728786e-13	1.2202810284530115e-12
4.3665342123452166e-11	2.8265862639738156e-11	2.0510178196537194e-11	1.4917409165465567e-11	8.55958184724965e-12	4.150145508202078e-12	1.7171853509235431e-12	6.621218214359388e-13	2.368979070932157e-13	1.222285435345219e-12
4.372572374840922e-11	2.8306042047348048e-11	2.0540119014520447e-11	1.4939764131563627e-11	8.57284790163184e-12	4.156786382485651e-12	1.7199731517339434e-12	6.632069831732946e-13	2.372877662975113e-13	1.2242924728530497e-12
4.378586099296226e-11	2.8346122857126013e-11	2.0570018237650532e-11	1.496206499570931e-11	8.586097596636022e-12	4.1634279939795386e-12	1.7227619231331724e-12	6.642928075792789e-13	2.376778856592668e-13	1.2262996516353415e-12
4.3845891408202325e-11	2.8386143698590438e-11	2.059988724675427e-11	1.498438343743834e-11	8.59937164396215e-12	4.170078922291455e-12	1.725558170066447e-12	6.653818438934033e-13	2.380690778525782e-13	1.2283141913793143e-12
4.390574270822767e-11	2.8426114314289766e-11	2.0629711357852484e-11	1.5006692641982947e-11	8.612654849521328e-12	4.176742640595988e-12	1.7283594674845803e-12	6.664732828763933e-13	2.384613310977513e-13	1.2303339386195764e-12
